"SAT","Years","Public","Expend","Rank",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
1088,16.79,87.8,25.6,89.7,1059.33173301865,28.6682669813545,0.100456802381605,25.8193430879837,0.0303610232752721,1.16590869557069,1
1075,16.07,86.2,19.95,90.6,1040.97024647375,34.0297535262534,0.0787771001966362,25.667761064999,0.0319864739997885,1.3675731133423,2
1068,16.57,88.3,20.62,89.8,1044.02087585449,23.9791241455146,0.0894181187592528,25.9432433479825,0.0184515295687934,0.969277043222771,3
1045,16.3,83.9,27.14,86.3,1020.63556118735,24.3644388126545,0.0585306463551524,25.9436512762065,0.0116643889237527,0.968562012616552,4
1045,17.25,83.6,21.05,88.5,1049.98604018586,-4.98604018585843,0.113197170439045,26.2062237351388,0.00106480774445241,-0.204228502217271,5
1033,15.91,93.7,29.48,86.4,1011.83880829386,21.161191706135,0.0936188482264698,26.0033637885714,0.0151844836057655,0.857351282153251,6
1028,17.41,78.3,24.84,83.4,1014.48630284719,13.5136971528143,0.0877452001162305,26.1314682288795,0.00572951208867263,0.545745566593174,7
1022,16.57,75.2,17.42,85.9,1006.53102199342,15.4689780065783,0.0530637848848656,26.1086221804354,0.00421364784525051,0.613162197201875,8
1017,16.01,97,25.96,87.5,1014.95023478986,2.04976521014146,0.0999095063165851,26.216353850053,0.000154177471923653,0.0833364782002947,9
1011,16.85,77.3,27.69,84.2,1017.28264081429,-6.28264081428847,0.0648935419395162,26.2000756102149,0.000871649831239707,-0.250602740563,10
1001,15.95,74.2,20.07,85.6,996.562117316541,4.43788268345929,0.0615670578402899,26.209279327126,0.00040970547462315,0.176704784209614,11
999,15.49,86.4,15.71,89.2,1004.63201582641,-5.63201582641011,0.0997672913494625,26.2031010560528,0.00116194229206783,-0.228960510794836,12
999,15.72,61.2,14.58,83.4,965.843103238171,33.1568967618293,0.177946383539604,25.6321829515539,0.0861419806535235,1.41058063652495,13
997,15.92,79.5,22.19,83.7,978.133530489865,18.8664695101352,0.0359223329448365,26.0578633577623,0.00409354893557778,0.741154482818677,14
995,16.18,92.1,17.8,85.9,987.627371512307,7.37262848769251,0.0888114318039662,26.1925091391554,0.00173011618323417,0.297914973441614,15
988,16.76,67.9,15.36,90.1,1052.9314684994,-64.9314684993981,0.115631048235537,24.0635502958062,0.185479604088312,-2.6632540397738,16
985,16.61,71.4,15.69,86.4,1011.05262014954,-26.0526201495367,0.0723772688091303,25.8993014312496,0.0169879299865892,-1.04337356497656,17
983,16.83,88.3,26.56,81.8,983.002394821117,-0.00239482111737743,0.0663787698022296,26.2183771010759,1.29960729784939e-10,-9.5600867380661e-05,18
982,16.23,87.5,26.53,83.2,984.336330940627,-2.33633094062691,0.0398593483021499,26.2159129613791,7.02275343142956e-05,-0.0919689110986434,19
981,15.98,80.9,19.14,84.3,977.682540433069,3.31745956693146,0.0357973512287166,26.2134294937453,0.000126096708633106,0.130315354935442,20
977,15.8,74.6,24.41,78.7,933.71988046444,43.2801195355604,0.0568560785002932,25.3429455272342,0.0356267401817332,1.71899090730619,21
975,16.85,44.8,19.72,82.9,1007.98608193904,-32.9860819390379,0.339623334007546,25.4942404176206,0.252146979936334,-1.56570156876528,22
975,16.42,67.7,20.79,80.6,962.763468013496,12.2365319865038,0.0617203270108263,26.1491191102359,0.00312362236638095,0.487266224598158,23
973,16.5,80.7,24.61,81.8,976.452201603993,-3.45220160399299,0.0269156636631563,26.2130682921605,0.000100803276978872,-0.134987956239566,24
968,17.08,90.6,18.16,86.2,1012.13244360934,-44.1324436093398,0.152704928035659,25.2023855934956,0.12327580953857,-1.84933141701863,25
964,16.37,69.6,13.84,83.9,977.838784206007,-13.8387842060072,0.0801191586267404,26.1279861206319,0.00539569420283822,-0.556552660669911,26
958,16.52,71.5,21.43,79.5,952.861248119101,5.13875188089946,0.0399332104449301,26.2064530440304,0.000340427669763766,0.202293085335802,27
925,16.35,78.1,20.33,73.6,883.274299416036,41.7257005839635,0.0524994197291205,25.4094842881535,0.0302957026912528,1.65343835559373,28
923,15.32,96.5,50.1,79.6,975.265865999495,-52.2658659994952,0.510481512155758,23.6764752095449,1.73163495403597,-2.88142761664247,29
917,14.73,89.1,21.79,81.1,918.806501194104,-1.80650119410416,0.113592451205149,26.2167813429146,0.000140390366207985,-0.0740108927612528,30
908,14.48,92.1,30.49,79.3,912.839054038677,-4.83905403867675,0.192660977258817,26.2058028946763,0.00205959123604671,-0.207733535505628,31
904,16.5,84.2,20.17,75.8,904.157012930243,-0.157012930243468,0.0596501885194437,26.2183657407383,4.94859595458369e-07,-0.00624546545730919,32
899,15.52,83,25.94,77.5,913.440549694502,-14.4405496945017,0.0503576103747365,26.1230296078308,0.00346489917257549,-0.571581010980654,33
897,16.95,67.9,27.81,71.4,897.939826645437,-0.939826645436824,0.110147748383824,26.2179468816649,3.65606194534557e-05,-0.0384293390298079,34
896,16.75,76.8,26.97,69.8,869.76588031633,26.2341196836703,0.0864648589963644,25.8897909556212,0.0212177991534637,1.05871235057329,35
896,16.86,80.4,33.58,70.5,891.603621536634,4.39637846336643,0.120144311177493,26.2088542065105,0.000892583149961,0.180785444532754,36
890,16.05,85.7,20.55,74.6,882.158619797594,7.84138020240562,0.0544378406070854,26.1901776899941,0.0011139968616438,0.311043824264391,37
889,15.91,80.5,22.62,74.6,887.185897289661,1.81410271033883,0.0383382520992834,26.2168938166709,4.05965933922024e-05,0.0713550663655413,38
889,16.9,80.4,25.41,71.5,884.168207885413,4.83179211458696,0.0843559525112181,26.2073237801774,0.000698967662498653,0.194768632681316,39
888,16.08,88.8,22.23,72.4,862.516545059654,25.4834549403461,0.0773793963512925,25.9115073908915,0.0175660403540415,1.02334211113969,40
888,16.79,80.7,31.74,69.9,879.745628877887,8.25437112211307,0.106776941638984,26.1852949588133,0.00271333757899051,0.336882259447819,41
885,17.27,78.6,27.98,73.4,918.229559017949,-33.2295590179488,0.099102083256642,25.6816502683848,0.0401198218644247,-1.35039524329718,42
877,16.67,79.7,25.59,71.4,879.001233948934,-2.00123394893433,0.0684056388565985,26.2165137477761,9.39316920892802e-05,-0.0799757918938206,43
869,16.37,80.6,27.91,69.8,861.032206714118,7.96779328588218,0.0751005772954179,26.18860978341,0.00165847373065246,0.319569201203307,44
868,14.95,91.7,19.55,76.4,869.860364956362,-1.86036495636233,0.10563290319657,26.2166998224546,0.000136001002904158,-0.0758777346355536,45
860,14.39,90.2,17.93,74.1,831.958646351707,28.0413536482934,0.185904510583897,25.7963468095591,0.0656319640701942,1.19876875070989,46
857,16.4,67.6,21.21,69.9,856.299621335787,0.700378664212622,0.10618771008371,26.218139237401,1.94010684687532e-05,0.0285748434390383,47
827,15.31,92.8,19.92,75.3,866.836682067177,-39.8366820671765,0.0933028155440852,25.4484680409414,0.0535938252465149,-1.61371241020761,48
823,15.55,86.5,16.52,74,855.646628428084,-32.6466284280837,0.0984419212304283,25.7008873496128,0.0384102873584025,-1.32622006574468,49
790,15.42,88.1,15.6,74,849.676479857051,-59.6764798570507,0.119092675183647,24.4033351570636,0.16263320660408,-2.45251797887301,50
